更新时间: 2026-04-11 05:03:42（北京时间）

更新时间,#genre#
2026-04-11 05:03:42,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
浙江卫视,http://116.237.61.115:4022/rtp/233.18.204.84:5140$上海市电信
浙江卫视,http://106.116.240.74:9999/rtp/239.254.200.53:8036$河北省电信
江苏卫视,http://27.10.95.231:4022/rtp/225.0.4.79:7980$重庆市联通
江苏卫视,http://115.171.216.58:4000/rtp/225.1.8.44:8028$北京市电信
江苏卫视,http://27.14.208.229:8000/rtp/225.0.4.79:7980$重庆市联通
江苏卫视,http://180.173.121.65:9999/rtp/233.18.204.85:5140$上海市电信
江苏卫视,http://171.8.84.159:8800/rtp/239.16.20.74:10740$河南电信
江苏卫视,http://116.237.61.115:4022/rtp/233.18.204.85:5140$上海市电信
江苏卫视,http://106.116.240.74:9999/rtp/239.254.200.51:8028$河北省电信
东方卫视,http://27.10.95.231:4022/rtp/225.0.4.103:7980$重庆市联通
东方卫视,http://27.10.95.231:4022/rtp/225.0.4.80:7980$重庆市联通
东方卫视,http://115.171.216.58:4000/rtp/225.1.8.45:8032$北京市电信
东方卫视,http://27.14.208.229:8000/rtp/225.0.4.103:7980$重庆市联通
东方卫视,http://27.14.208.229:8000/rtp/225.0.4.80:7980$重庆市联通
东方卫视,http://180.173.121.65:9999/rtp/233.18.204.224:5140$上海市电信
东方卫视,http://180.173.121.65:9999/rtp/233.18.204.51:5140$上海市电信
东方卫视,http://171.8.84.159:8800/rtp/239.16.20.73:10730$河南电信
东方卫视,http://116.237.61.115:4022/rtp/233.18.204.224:5140$上海市电信
东方卫视,http://116.237.61.115:4022/rtp/233.18.204.51:5140$上海市电信
东方卫视,http://106.116.240.74:9999/rtp/239.254.200.52:8032$河北省电信
深圳卫视,http://27.10.95.231:4022/rtp/225.0.4.101:7980$重庆市联通
深圳卫视,http://27.10.95.231:4022/rtp/225.0.4.202:7980$重庆市联通
深圳卫视,http://115.171.216.58:4000/rtp/225.1.8.43:8020$北京市电信
深圳卫视,http://27.14.208.229:8000/rtp/225.0.4.101:7980$重庆市联通
深圳卫视,http://27.14.208.229:8000/rtp/225.0.4.202:7980$重庆市联通
深圳卫视,http://180.173.121.65:9999/rtp/233.18.204.219:5140$上海市电信
深圳卫视,http://180.173.121.65:9999/rtp/233.18.204.89:5140$上海市电信
深圳卫视,http://171.8.84.159:8800/rtp/239.16.20.77:10770$河南电信
深圳卫视,http://116.237.61.115:4022/rtp/233.18.204.219:5140$上海市电信
深圳卫视,http://116.237.61.115:4022/rtp/233.18.204.89:5140$上海市电信
深圳卫视,http://106.116.240.74:9999/rtp/239.254.200.50:8020$河北省电信
北京卫视,http://27.10.95.231:4022/rtp/225.0.4.122:7980$重庆市联通
北京卫视,http://27.10.95.231:4022/rtp/225.0.4.78:7980$重庆市联通
北京卫视,http://115.171.216.58:4000/rtp/225.1.8.21:8002$北京市电信
北京卫视,http://27.14.208.229:8000/rtp/225.0.4.122:7980$重庆市联通
北京卫视,http://27.14.208.229:8000/rtp/225.0.4.78:7980$重庆市联通
北京卫视,http://180.173.121.65:9999/rtp/233.18.204.209:5140$上海市电信
北京卫视,http://180.173.121.65:9999/rtp/233.18.204.87:5140$上海市电信
北京卫视,http://171.8.84.159:8800/rtp/239.16.20.76:10760$河南电信
北京卫视,http://116.237.61.115:4022/rtp/233.18.204.209:5140$上海市电信
北京卫视,http://116.237.61.115:4022/rtp/233.18.204.87:5140$上海市电信
北京卫视,http://106.116.240.74:9999/rtp/239.254.200.47:8024$河北省电信
广东卫视,http://27.10.95.231:4022/rtp/225.0.4.102:7980$重庆市联通
广东卫视,http://27.10.95.231:4022/rtp/225.0.4.84:7980$重庆市联通
广东卫视,http://115.171.216.58:4000/rtp/225.1.8.49:8048$北京市电信
广东卫视,http://27.14.208.229:8000/rtp/225.0.4.102:7980$重庆市联通
广东卫视,http://27.14.208.229:8000/rtp/225.0.4.84:7980$重庆市联通
广东卫视,http://180.173.121.65:9999/rtp/233.18.204.218:5140$上海市电信
广东卫视,http://180.173.121.65:9999/rtp/233.18.204.88:5140$上海市电信
广东卫视,http://171.8.84.159:8800/rtp/239.16.20.98:10980$河南电信
广东卫视,http://116.237.61.115:4022/rtp/233.18.204.218:5140$上海市电信
广东卫视,http://116.237.61.115:4022/rtp/233.18.204.88:5140$上海市电信
广东卫视,http://106.116.240.74:9999/rtp/239.254.200.56:8048$河北省电信
广西卫视,http://180.173.121.65:9999/rtp/233.18.204.107:5140$上海市电信
广西卫视,http://171.8.84.159:8800/rtp/239.16.20.84:10840$河南电信
广西卫视,http://116.237.61.115:4022/rtp/233.18.204.107:5140$上海市电信
广西卫视,http://106.116.240.74:9999/rtp/239.254.200.80:8300$河北省电信
东南卫视,http://27.10.95.231:4022/rtp/225.0.4.200:7980$重庆市联通
东南卫视,http://115.171.216.58:4000/rtp/225.1.8.79:8148$北京市电信
东南卫视,http://27.14.208.229:8000/rtp/225.0.4.200:7980$重庆市联通
东南卫视,http://180.173.121.65:9999/rtp/233.18.204.94:5140$上海市电信
东南卫视,http://171.8.84.159:8800/rtp/239.16.20.82:10820$河南电信
东南卫视,http://116.237.61.115:4022/rtp/233.18.204.94:5140$上海市电信
东南卫视,http://106.116.240.74:9999/rtp/239.254.201.13:6291$河北省电信
海南卫视,http://171.8.84.159:8800/rtp/239.16.20.97:10970$河南电信
海南卫视,http://106.116.240.74:9999/rtp/239.254.201.125:6288$河北省电信
河北卫视,http://27.10.95.231:4022/rtp/225.0.4.174:7980$重庆市联通
河北卫视,http://115.171.216.58:4000/rtp/225.1.8.76:8002$北京市电信
河北卫视,http://27.14.208.229:8000/rtp/225.0.4.174:7980$重庆市联通
河北卫视,http://180.173.121.65:9999/rtp/233.18.204.103:5140$上海市电信
河北卫视,http://171.8.84.159:8800/rtp/239.16.20.88:10880$河南电信
河北卫视,http://116.237.61.115:4022/rtp/233.18.204.103:5140$上海市电信
河北卫视,http://106.116.240.74:9999/rtp/239.254.200.174:6000$河北省电信
河南卫视,http://180.173.121.65:9999/rtp/233.18.204.105:5140$上海市电信
河南卫视,http://171.8.84.159:8800/rtp/239.16.20.21:10210$河南电信
河南卫视,http://116.237.61.115:4022/rtp/233.18.204.105:5140$上海市电信
河南卫视,http://106.116.240.74:9999/rtp/239.254.201.16:7174$河北省电信
湖北卫视,http://27.10.95.231:4022/rtp/225.0.4.217:7980$重庆市联通
湖北卫视,http://115.171.216.58:4000/rtp/225.1.8.47:8044$北京市电信
湖北卫视,http://27.14.208.229:8000/rtp/225.0.4.217:7980$重庆市联通
湖北卫视,http://180.173.121.65:9999/rtp/233.18.204.92:5140$上海市电信
湖北卫视,http://171.8.84.159:8800/rtp/239.16.20.87:10870$河南电信
湖北卫视,http://116.237.61.115:4022/rtp/233.18.204.92:5140$上海市电信
湖北卫视,http://106.116.240.74:9999/rtp/239.254.200.164:6000$河北省电信
江西卫视,http://27.10.95.231:4022/rtp/225.0.4.203:7980$重庆市联通
江西卫视,http://115.171.216.58:4000/rtp/225.1.8.171:8166$北京市电信
江西卫视,http://27.14.208.229:8000/rtp/225.0.4.203:7980$重庆市联通
江西卫视,http://180.173.121.65:9999/rtp/233.18.204.95:5140$上海市电信
江西卫视,http://171.8.84.159:8800/rtp/239.16.20.89:10890$河南电信
江西卫视,http://116.237.61.115:4022/rtp/233.18.204.95:5140$上海市电信
江西卫视,http://106.116.240.74:9999/rtp/239.254.201.12:6290$河北省电信
四川卫视,http://27.10.95.231:4022/rtp/225.0.4.108:7980$重庆市联通
四川卫视,http://27.10.95.231:4022/rtp/225.0.4.204:7980$重庆市联通
四川卫视,http://27.14.208.229:8000/rtp/225.0.4.108:7980$重庆市联通
四川卫视,http://27.14.208.229:8000/rtp/225.0.4.204:7980$重庆市联通
四川卫视,http://180.173.121.65:9999/rtp/233.18.204.225:5140$上海市电信
四川卫视,http://180.173.121.65:9999/rtp/233.18.204.99:5140$上海市电信
四川卫视,http://171.8.84.159:8800/rtp/239.16.20.86:10860$河南电信
四川卫视,http://116.237.61.115:4022/rtp/233.18.204.225:5140$上海市电信
四川卫视,http://116.237.61.115:4022/rtp/233.18.204.99:5140$上海市电信
四川卫视,http://106.116.240.74:9999/rtp/239.254.200.202:6325$河北省电信
重庆卫视,http://27.10.95.231:4022/rtp/225.0.4.187:7980$重庆市联通
重庆卫视,http://115.171.216.58:4000/rtp/225.1.8.172:8162$北京市电信
重庆卫视,http://27.14.208.229:8000/rtp/225.0.4.187:7980$重庆市联通
重庆卫视,http://180.173.121.65:9999/rtp/233.18.204.100:5140$上海市电信
重庆卫视,http://171.8.84.159:8800/rtp/239.16.20.79:10790$河南电信
重庆卫视,http://116.237.61.115:4022/rtp/233.18.204.100:5140$上海市电信
重庆卫视,http://106.116.240.74:9999/rtp/239.254.200.203:6323$河北省电信
贵州卫视,http://27.10.95.231:4022/rtp/225.0.4.175:7980$重庆市联通
贵州卫视,http://115.171.216.58:4000/rtp/225.1.8.77:8076$北京市电信
贵州卫视,http://27.14.208.229:8000/rtp/225.0.4.175:7980$重庆市联通
贵州卫视,http://180.173.121.65:9999/rtp/233.18.204.101:5140$上海市电信
贵州卫视,http://171.8.84.159:8800/rtp/239.16.20.81:10810$河南电信
贵州卫视,http://116.237.61.115:4022/rtp/233.18.204.101:5140$上海市电信
贵州卫视,http://106.116.240.74:9999/rtp/239.254.201.20:6315$河北省电信
云南卫视,http://180.173.121.65:9999/rtp/233.18.204.106:5140$上海市电信
云南卫视,http://171.8.84.159:8800/rtp/239.16.20.85:10850$河南电信
云南卫视,http://116.237.61.115:4022/rtp/233.18.204.106:5140$上海市电信
天津卫视,http://27.10.95.231:4022/rtp/225.0.4.82:7980$重庆市联通
天津卫视,http://115.171.216.58:4000/rtp/225.1.8.48:8044$北京市电信
天津卫视,http://27.14.208.229:8000/rtp/225.0.4.82:7980$重庆市联通
天津卫视,http://180.173.121.65:9999/rtp/233.18.204.97:5140$上海市电信
天津卫视,http://171.8.84.159:8800/rtp/239.16.20.96:10960$河南电信
天津卫视,http://116.237.61.115:4022/rtp/233.18.204.97:5140$上海市电信
天津卫视,http://106.116.240.74:9999/rtp/239.254.200.54:1234$河北省电信
安徽卫视,http://27.10.95.231:4022/rtp/225.0.4.133:7980$重庆市联通
安徽卫视,http://115.171.216.58:4000/rtp/225.1.8.52:8064$北京市电信
安徽卫视,http://27.14.208.229:8000/rtp/225.0.4.133:7980$重庆市联通
安徽卫视,http://180.173.121.65:9999/rtp/233.18.204.93:5140$上海市电信
安徽卫视,http://171.8.84.159:8800/rtp/239.16.20.75:10750$河南电信
安徽卫视,http://116.237.61.115:4022/rtp/233.18.204.93:5140$上海市电信
安徽卫视,http://106.116.240.74:9999/rtp/239.254.200.163:6000$河北省电信
山东卫视,http://27.10.95.231:4022/rtp/225.0.4.106:7980$重庆市联通
山东卫视,http://27.10.95.231:4022/rtp/225.0.4.199:7980$重庆市联通
山东卫视,http://115.171.216.58:4000/rtp/225.1.8.50:8052$北京市电信
山东卫视,http://27.14.208.229:8000/rtp/225.0.4.106:7980$重庆市联通
山东卫视,http://27.14.208.229:8000/rtp/225.0.4.199:7980$重庆市联通
山东卫视,http://180.173.121.65:9999/rtp/233.18.204.228:5140$上海市电信
山东卫视,http://180.173.121.65:9999/rtp/233.18.204.91:5140$上海市电信
山东卫视,http://171.8.84.159:8800/rtp/239.16.20.80:10800$河南电信
山东卫视,http://116.237.61.115:4022/rtp/233.18.204.228:5140$上海市电信
山东卫视,http://116.237.61.115:4022/rtp/233.18.204.91:5140$上海市电信
山东卫视,http://106.116.240.74:9999/rtp/239.254.200.55:8052$河北省电信
辽宁卫视,http://27.10.95.231:4022/rtp/225.0.4.98:7980$重庆市联通
辽宁卫视,http://115.171.216.58:4000/rtp/225.1.8.51:8056$北京市电信
